CO2,horse,type
374.38,558,Car
366.231,558,Car
614.689,558,Car
364.293,558,Car
589.921,558,Car
448.891,553,Car
278.713,553,Car
421.772,553,Car
277.637,553,Car
466.559,553,Car
279.11,553,Car
437.378,553,Car
278.797,553,Car
596.476,725,Car
406.09,725,Car
577.186,725,Car
398.22,725,Car
667.14,725,Car
408.16,725,Car
632.11,725,Car
404.771,725,Car
628.71,652,Car
390.02,652,Car
596.198,652,Car
385.81,652,Car
708.95,652,Car
389.168,652,Car
385.06,652,Car
670.92,652,Car
172.8648383,141,Car
161.3825111,141,Car
169.7150958,141,Car
154.5939573,141,Car
383.191,325,Truck
235.96,325,Truck
210.576,245,Truck
335.289,245,Truck
392.557,280,Truck
239.812,280,Truck
414.253,325,Truck
278.646,325,Truck
408.341,325,Truck
265.211,325,Truck
351.947,245,Truck
223.314,245,Truck
322.856,237,Truck
212.614,237,Truck
497.043,365,Truck
353.713,365,Truck
453.336,365,Truck
290.075,365,Truck
486.871,365,Truck
313.727,365,Truck
498.452,365,Truck
328.879,365,Truck
488.438,365,Truck
314.934,365,Truck
476.729,365,Truck
301.173,365,Truck
500.198,365,Truck
319.515,365,Truck
479.541,365,Truck
319.007,365,Truck
497.25,365,Truck
330.457,365,Truck
279.511,287,Truck
429.938,287,Truck
409.736,287,Truck
269.556,287,Truck
389.958,237,Truck
275.824,237,Truck
397.136,287,Truck
248.719,287,Truck
413.648,287,Truck
262.806,287,Truck
452.945,300,Truck
308.731,300,Truck
435.9,300,Truck
294.739,300,Truck
368.207,325,Truck
250.065,325,Truck
259.622,282,Truck
364.012,282,Truck
384.329,282,Truck
250.2653,282,Truck
422.43,282,Truck
287.752,282,Truck
400.6605,282,Truck
271.9015,282,Truck
403.944,282,Truck
278.499,282,Truck
267.0792,282,Truck
386.3671,282,Truck
